serializer,endpoint,field,type,required,bounds,normalised
HearthTokenSerializer,api/auth/token/,username,CharField,yes,prohibitnullcharacters,no
HearthTokenSerializer,api/auth/token/,password,PasswordField,yes,prohibitnullcharacters,no
UserSerializer,api/auth/^users/$,username,CharField,yes,"maxlen=150,unicodeusername,maxlength,prohibitnullcharacters",yes
UserSerializer,api/auth/^users/$,first_name,CharField,no,"maxlen=150,maxlength,prohibitnullcharacters",yes
UserSerializer,api/auth/^users/$,last_name,CharField,no,"maxlen=150,maxlength,prohibitnullcharacters",yes
UserSerializer,api/auth/^users/$,email,EmailField,no,"maxlen=254,maxlength,prohibitnullcharacters,email",yes
UserSerializer,api/auth/^users/$,role,CharField,no,"maxlen=40,maxlength,prohibitnullcharacters",yes
UserSerializer,api/auth/^users/$,user_code,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
UserSerializer,api/auth/^users/$,phone,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",yes
UserSerializer,api/auth/^users/$,passcode,CharField,no,prohibitnullcharacters,yes
UserSerializer,api/auth/^users/$,discount_cap_type,ChoiceField,no,choices,no
UserSerializer,api/auth/^users/$,discount_cap_value,DecimalField,no,"min=0,minvalue",no
UserSerializer,api/auth/^users/$,rights,JSONField,no,-,no
UserSerializer,api/auth/^users/$,is_active,BooleanField,no,-,no
UserSerializer,api/auth/^users/$,mfa_enabled,BooleanField,no,-,no
UserSerializer,api/auth/^users/$,password,CharField,no,prohibitnullcharacters,yes
RoleSerializer,api/auth/^roles/$,name,CharField,yes,"maxlen=40,maxlength,prohibitnullcharacters",no
RoleSerializer,api/auth/^roles/$,base_role,CharField,no,"maxlen=40,maxlength,prohibitnullcharacters",no
RoleSerializer,api/auth/^roles/$,rank,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
RoleSerializer,api/auth/^roles/$,modules,JSONField,no,-,no
RoleSerializer,api/auth/^roles/$,is_system,BooleanField,no,-,no
RoleSerializer,api/auth/^roles/$,active,BooleanField,no,-,no
RoleSerializer,api/auth/^roles/$,description,CharField,no,"maxlen=200,maxlength,prohibitnullcharacters",no
BranchSerializer,api/auth/^branches/$,name,CharField,yes,"maxlen=200,maxlength,prohibitnullcharacters",no
BranchSerializer,api/auth/^branches/$,code,CharField,yes,"maxlen=10,maxlength,prohibitnullcharacters",no
BranchSerializer,api/auth/^branches/$,address,CharField,no,"maxlen=300,maxlength,prohibitnullcharacters",no
BranchSerializer,api/auth/^branches/$,city,CharField,no,"maxlen=80,maxlength,prohibitnullcharacters",no
BranchSerializer,api/auth/^branches/$,state,CharField,no,"maxlen=80,maxlength,prohibitnullcharacters",no
BranchSerializer,api/auth/^branches/$,gstin,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
BranchSerializer,api/auth/^branches/$,edition,ChoiceField,no,choices,no
BranchSerializer,api/auth/^branches/$,hms,BooleanField,no,-,no
BranchSerializer,api/auth/^branches/$,restaurant,BooleanField,no,-,no
BranchSerializer,api/auth/^branches/$,banquets,BooleanField,no,-,no
BranchSerializer,api/auth/^branches/$,rms,BooleanField,no,-,no
BranchSerializer,api/auth/^branches/$,invoice_prefix,CharField,no,"maxlen=10,maxlength,prohibitnullcharacters",no
BranchSerializer,api/auth/^branches/$,status,ChoiceField,no,choices,no
BranchSerializer,api/auth/^branches/$,logo,CharField,no,prohibitnullcharacters,no
UserBranchAccessSerializer,api/auth/^branch-access/$,user,PrimaryKeyRelatedField,yes,choices,no
UserBranchAccessSerializer,api/auth/^branch-access/$,branch,PrimaryKeyRelatedField,yes,choices,no
UserBranchAccessSerializer,api/auth/^branch-access/$,role,CharField,yes,"maxlen=40,maxlength,prohibitnullcharacters",yes
UserBranchAccessSerializer,api/auth/^branch-access/$,start_date,DateField,no,-,no
UserBranchAccessSerializer,api/auth/^branch-access/$,end_date,DateField,no,-,no
RoomTypeSerializer,api/^room-types/$,code,CharField,yes,"maxlen=20,maxlength,prohibitnullcharacters",no
RoomTypeSerializer,api/^room-types/$,name,CharField,yes,"maxlen=120,maxlength,prohibitnullcharacters",no
RoomTypeSerializer,api/^room-types/$,base_rate,DecimalField,yes,"min=0,minvalue",no
RoomTypeSerializer,api/^room-types/$,max_occupancy,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
RoomTypeSerializer,api/^room-types/$,gst_slab,DecimalField,no,"min=0,max=100,maxvalue,minvalue",no
RatePlanSerializer,api/^rate-plans/$,name,CharField,yes,"maxlen=120,maxlength,prohibitnullcharacters",no
RatePlanSerializer,api/^rate-plans/$,room_type,PrimaryKeyRelatedField,yes,choices,no
RatePlanSerializer,api/^rate-plans/$,rate,DecimalField,yes,"min=0,minvalue",no
RatePlanSerializer,api/^rate-plans/$,inclusions,CharField,no,"maxlen=200,maxlength,prohibitnullcharacters",no
RoomSerializer,api/^rooms/$,number,CharField,yes,"maxlen=12,maxlength,prohibitnullcharacters",no
RoomSerializer,api/^rooms/$,branch,CharField,no,"maxlen=80,maxlength,prohibitnullcharacters",no
RoomSerializer,api/^rooms/$,location,PrimaryKeyRelatedField,no,choices,no
RoomSerializer,api/^rooms/$,room_type,PrimaryKeyRelatedField,yes,choices,no
RoomSerializer,api/^rooms/$,floor,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
RoomSerializer,api/^rooms/$,view,CharField,no,"maxlen=40,maxlength,prohibitnullcharacters",no
RoomSerializer,api/^rooms/$,smoking,BooleanField,no,-,no
RoomSerializer,api/^rooms/$,status,ChoiceField,no,choices,no
RoomSerializer,api/^rooms/$,ooo_reason,CharField,no,"maxlen=200,maxlength,prohibitnullcharacters",no
RoomSerializer,api/^rooms/$,cleaning_requested,BooleanField,no,-,no
RoomSerializer,api/^rooms/$,cleaning_note,CharField,no,"maxlen=160,maxlength,prohibitnullcharacters",no
ReservationSerializer,api/^reservations/$,guest,PrimaryKeyRelatedField,no,choices,no
ReservationSerializer,api/^reservations/$,guest_name,CharField,yes,"maxlen=200,maxlength,prohibitnullcharacters",yes
ReservationSerializer,api/^reservations/$,room_type,PrimaryKeyRelatedField,yes,choices,no
ReservationSerializer,api/^reservations/$,rate_plan,PrimaryKeyRelatedField,no,choices,no
ReservationSerializer,api/^reservations/$,room,PrimaryKeyRelatedField,no,choices,no
ReservationSerializer,api/^reservations/$,checkin_date,DateField,yes,-,no
ReservationSerializer,api/^reservations/$,checkout_date,DateField,yes,-,no
ReservationSerializer,api/^reservations/$,nights,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
ReservationSerializer,api/^reservations/$,source,ChoiceField,no,choices,no
ReservationSerializer,api/^reservations/$,status,ChoiceField,no,choices,no
ReservationSerializer,api/^reservations/$,rate,DecimalField,no,"min=0,minvalue",no
ReservationSerializer,api/^reservations/$,deposit,DecimalField,no,"min=0,minvalue",no
ReservationSerializer,api/^reservations/$,prepaid,BooleanField,no,-,no
ReservationSerializer,api/^reservations/$,notes,CharField,no,"maxlen=255,maxlength,prohibitnullcharacters",no
ReservationSerializer,api/^reservations/$,channel_name,CharField,no,"maxlen=80,maxlength,prohibitnullcharacters",no
ReservationSerializer,api/^reservations/$,ota_ref,CharField,no,"maxlen=80,maxlength,prohibitnullcharacters",no
ReservationSerializer,api/^reservations/$,precheckin,JSONField,no,-,no
ReservationSerializer,api/^reservations/$,precheckin_done,BooleanField,no,-,no
FolioSerializer,api/^folios/$,reservation,PrimaryKeyRelatedField,no,choices,no
FolioSerializer,api/^folios/$,guest_name,CharField,yes,"maxlen=200,maxlength,prohibitnullcharacters",no
FolioSerializer,api/^folios/$,room,PrimaryKeyRelatedField,no,choices,no
FolioSerializer,api/^folios/$,status,ChoiceField,no,choices,no
FolioSerializer,api/^folios/$,routing,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
FolioSerializer,api/^folios/$,settled_at,DateTimeField,no,-,no
FolioSerializer,api/^folios/$,invoice_no,CharField,no,"maxlen=30,maxlength,prohibitnullcharacters",no
FolioSerializer,api/^folios/$,guest_type,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
FolioSerializer,api/^folios/$,company_name,CharField,no,"maxlen=200,maxlength,prohibitnullcharacters",no
FolioSerializer,api/^folios/$,billing_mode,CharField,no,"maxlen=12,maxlength,prohibitnullcharacters",no
ChecklistItemSerializer,api/^housekeeping/checklist-items/$,label,CharField,yes,"maxlen=120,maxlength,prohibitnullcharacters",no
ChecklistItemSerializer,api/^housekeeping/checklist-items/$,sort_order,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
ChecklistItemSerializer,api/^housekeeping/checklist-items/$,active,BooleanField,no,-,no
LinenItemSerializer,api/^housekeeping/linen-items/$,name,CharField,yes,"maxlen=80,maxlength,prohibitnullcharacters",no
LinenItemSerializer,api/^housekeeping/linen-items/$,par_per_room,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
LinenItemSerializer,api/^housekeeping/linen-items/$,active,BooleanField,no,-,no
HousekeepingTaskSerializer,api/^housekeeping/tasks/$,room,PrimaryKeyRelatedField,yes,choices,no
HousekeepingTaskSerializer,api/^housekeeping/tasks/$,assigned_to,PrimaryKeyRelatedField,no,choices,no
HousekeepingTaskSerializer,api/^housekeeping/tasks/$,status,ChoiceField,no,choices,no
HousekeepingTaskSerializer,api/^housekeeping/tasks/$,checklist,JSONField,no,-,no
HousekeepingTaskSerializer,api/^housekeeping/tasks/$,linen_issued,JSONField,no,-,no
HousekeepingTaskSerializer,api/^housekeeping/tasks/$,note,CharField,no,"maxlen=300,maxlength,prohibitnullcharacters",no
HousekeepingTaskSerializer,api/^housekeeping/tasks/$,started_at,DateTimeField,no,-,no
HousekeepingTaskSerializer,api/^housekeeping/tasks/$,completed_at,DateTimeField,no,-,no
WorkOrderSerializer,api/^work-orders/$,room,PrimaryKeyRelatedField,no,choices,no
WorkOrderSerializer,api/^work-orders/$,title,CharField,yes,"maxlen=200,maxlength,prohibitnullcharacters",no
WorkOrderSerializer,api/^work-orders/$,detail,CharField,no,"maxlen=300,maxlength,prohibitnullcharacters",no
WorkOrderSerializer,api/^work-orders/$,status,ChoiceField,no,choices,no
WorkOrderSerializer,api/^work-orders/$,raised_by,CharField,no,"maxlen=120,maxlength,prohibitnullcharacters",no
WorkOrderSerializer,api/^work-orders/$,closed_at,DateTimeField,no,-,no
TableSerializer,api/^pos/tables/$,name,CharField,yes,"maxlen=20,maxlength,prohibitnullcharacters",no
TableSerializer,api/^pos/tables/$,floor,CharField,no,"maxlen=40,maxlength,prohibitnullcharacters",no
TableSerializer,api/^pos/tables/$,section,CharField,no,"maxlen=40,maxlength,prohibitnullcharacters",no
TableSerializer,api/^pos/tables/$,seats,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
TableSerializer,api/^pos/tables/$,shape,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
TableSerializer,api/^pos/tables/$,status,ChoiceField,no,choices,no
TableSerializer,api/^pos/tables/$,location,PrimaryKeyRelatedField,yes,choices,no
BarTableSerializer,api/^bar/tables/$,name,CharField,yes,"maxlen=20,maxlength,prohibitnullcharacters",no
BarTableSerializer,api/^bar/tables/$,section,CharField,no,"maxlen=40,maxlength,prohibitnullcharacters",no
BarTableSerializer,api/^bar/tables/$,seats,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
BarTableSerializer,api/^bar/tables/$,shape,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
BarTableSerializer,api/^bar/tables/$,status,ChoiceField,no,choices,no
BarTableSerializer,api/^bar/tables/$,location,PrimaryKeyRelatedField,no,choices,no
CategorySerializer,api/^pos/categories/$,name,CharField,yes,"maxlen=80,maxlength,prohibitnullcharacters",no
CategorySerializer,api/^pos/categories/$,sort_order,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
CategorySerializer,api/^pos/categories/$,is_bar,BooleanField,no,-,no
CategorySerializer,api/^pos/categories/$,location,PrimaryKeyRelatedField,no,choices,no
MenuItemSerializer,api/^pos/menu-items/$,name,CharField,yes,"maxlen=120,maxlength,prohibitnullcharacters",no
MenuItemSerializer,api/^pos/menu-items/$,short_code,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
MenuItemSerializer,api/^pos/menu-items/$,category,PrimaryKeyRelatedField,yes,choices,no
MenuItemSerializer,api/^pos/menu-items/$,price,DecimalField,yes,"min=0,minvalue",no
MenuItemSerializer,api/^pos/menu-items/$,gst_rate,DecimalField,no,"min=0,max=100,maxvalue,minvalue",no
MenuItemSerializer,api/^pos/menu-items/$,diet,ChoiceField,no,choices,no
MenuItemSerializer,api/^pos/menu-items/$,station,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",yes
MenuItemSerializer,api/^pos/menu-items/$,bar_menu,BooleanField,no,-,no
MenuItemSerializer,api/^pos/menu-items/$,available,BooleanField,no,-,no
MenuItemSerializer,api/^pos/menu-items/$,image,CharField,no,prohibitnullcharacters,no
MenuItemSerializer,api/^pos/menu-items/$,location,PrimaryKeyRelatedField,no,choices,no
OrderSerializer,api/^pos/orders/$,mode,ChoiceField,no,choices,no
OrderSerializer,api/^pos/orders/$,department,ChoiceField,no,choices,no
OrderSerializer,api/^pos/orders/$,table,PrimaryKeyRelatedField,no,choices,no
OrderSerializer,api/^pos/orders/$,bar_table,PrimaryKeyRelatedField,no,choices,no
OrderSerializer,api/^pos/orders/$,customer,PrimaryKeyRelatedField,no,choices,no
OrderSerializer,api/^pos/orders/$,covers,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
OrderSerializer,api/^pos/orders/$,captain,CharField,no,"maxlen=80,maxlength,prohibitnullcharacters",no
OrderSerializer,api/^pos/orders/$,status,ChoiceField,no,choices,no
OrderSerializer,api/^pos/orders/$,folio,PrimaryKeyRelatedField,no,choices,no
OrderSerializer,api/^pos/orders/$,kot_no,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
OrderSerializer,api/^pos/orders/$,bill_no,CharField,no,"maxlen=30,maxlength,prohibitnullcharacters",no
OrderSerializer,api/^pos/orders/$,discount_kind,CharField,no,"maxlen=10,maxlength,prohibitnullcharacters",no
OrderSerializer,api/^pos/orders/$,discount_value,DecimalField,no,"min=0,minvalue",no
